store_nbr,total_sales,city,state,store_type
1,232396.6292,GUWAHATI,Assam,D
2,350840.840200002,JOHRAT,Assam,D
3,830330.366599999,SILCHAR,Assam,D
4,314193.565400001,GUWAHATI,Assam,D
5,259583.0819,PATNA,Bihar,D
6,421698.7007,PATNA,Bihar,D
7,453008.182900002,BHAGALPUR,Bihar,D
8,508454.477499999,PATNA,Bihar,D
9,437467.208699999,RAIPUR,Chhattisgarh,B
10,162374.577,BILASPUR,Chhattisgarh,C
11,482788.7072,BHILAI,Chhattisgarh,B
12,175377.7697,RAIPUR,Chhattisgarh,C
13,173988.929,DHANBAD,Jharkhand,C
14,192393.008,RANCHI,Jharkhand,C
15,193899.717499999,JAMSHEDPUR,Jharkhand,C
16,182669.4345,DEOGHAR,Jharkhand,C
17,296577.2009,NAGPUR,Maharashtra,C
18,219495.7429,NAGPUR,Maharashtra,B
19,215234.7339,NAGPUR,Maharashtra,C
20,220272.076,NAGPUR,Maharashtra,B
21,151437.115,JHARSUGDA,Odisha,B
22,71272.909,BHUBHANESWAR,Odisha,C
23,195416.654600001,BHUBHANESWAR,Odisha,D
24,389892.593100001,CUTTACK,Odisha,D
25,191480.5346,SAMBALPUR,Odisha,D
26,127577.6787,GANGTOK,Sikkim,D
27,322010.750699999,AGARTALA,Tripura,D
28,310034.748,KOLKATA,West Bengal,E
29,164484.918,KOLKATA,West Bengal,E
30,119976.3069,KOLKATA,West Bengal,C
31,291839.3232,KOLKATA,West Bengal,B
32,95599.3379000001,KOLKATA,West Bengal,C
33,236588.4685,KOLKATA,West Bengal,C
34,282842.283499999,KOLKATA,West Bengal,B
35,126049.9673,BARASAT,West Bengal,C
36,251080.8729,HOWRAH,West Bengal,E
37,331192.694300001,ASANSOL,West Bengal,D
38,313174.7835,HOWRAH,West Bengal,D
39,340090.755200001,DARJEELING,West Bengal,B
40,310658.8182,SILIGURI,West Bengal,C
41,253290.411700001,SILIGURI,West Bengal,D
42,148316.706,DURGAPUR,West Bengal,D
43,268981.2557,BURDWAN,West Bengal,E
44,1039714.3858,KOLKATA,West Bengal,A
45,907698.2234,KHARAGPUR,West Bengal,A
46,697331.664399998,KOLKATA,West Bengal,A
47,846728.352599998,KOLKATA,West Bengal,A
48,593306.392100001,KOLKATA,West Bengal,A
49,722706.424,KOLKATA,West Bengal,A
50,480325.0319,KOLKATA,West Bengal,A
51,540410.889199999,KOLKATA,West Bengal,A
52,44294.332,KOLKATA,West Bengal,A
53,183930.7489,HALDIA,West Bengal,D
54,182650.5274,BOKARO,Jharkhand,C
